timestamp,return_temp_C,supply_temp_C,outdoor_temp_C,suction_pressure_psi,discharge_pressure_psi,compressor_current_A,fan_speed_RPM,vibration_mm_s,unit_age,refrigerant_pressure_psi,filter_health,airflow_rate,damper_position_%,fault
1,24.0,15.8,36.2,58.0,214.0,12.1,1502.0,0.21,4.8,167.0,1.0,5.0,31.7,Normal
2,24.1,15.9,36.0,59.0,217.0,11.9,1517.0,0.22,13.5,170.0,1.0,5.0,27.7,Normal
3,23.4,15.9,36.4,59.0,215.0,13.0,1511.0,0.17,0.5,168.0,1.0,5.0,24.8,Normal
4,24.5,16.2,36.8,60.0,215.0,13.6,1463.0,0.24,4.9,169.0,1.0,5.0,25.8,Normal
5,23.7,16.4,36.0,61.0,216.0,12.7,1496.0,0.21,13.1,170.0,1.0,5.0,28.4,Normal
6,23.5,15.9,36.0,61.0,215.0,13.1,1522.0,0.21,15.0,169.0,1.0,5.0,24.8,Normal
7,23.5,16.5,36.9,59.0,211.0,11.9,1515.0,0.18,10.8,166.0,1.0,5.0,22.5,Normal
8,24.7,15.9,36.5,60.0,217.0,12.2,1479.0,0.19,13.5,170.0,1.0,5.0,27.9,Normal
9,23.8,15.9,35.9,60.0,218.0,13.6,1516.0,0.2,0.2,171.0,1.0,5.0,29.6,Normal
10,25.5,16.4,36.5,60.0,212.0,12.6,1531.0,0.18,11.6,166.0,1.0,5.0,26.3,Normal
11,24.9,16.4,36.0,60.0,213.0,11.9,1475.0,0.2,6.9,167.0,1.0,5.0,28.3,Normal
12,24.7,16.4,36.0,59.0,219.0,12.2,1446.0,0.19,10.4,171.0,1.0,5.0,24.3,Normal
13,23.6,15.9,36.4,59.0,216.0,13.2,1558.0,0.22,6.4,169.0,1.0,5.0,26.6,Normal
14,23.6,15.9,35.3,59.0,216.0,13.2,1558.0,0.22,8.5,168.89999999999998,1.0,5.0,24.6,Filter_Clog
15,23.711111111111112,16.233333333333334,35.4,57.888888888888886,217.11111111111111,13.639999999999999,1569.111111111111,0.22555555555555556,3.9,169.34444444444443,0.9444444444444444,4.75,24.26666666666667,Filter_Clog
16,23.822222222222223,16.566666666666666,36.0,56.77777777777778,218.22222222222223,14.08,1580.2222222222222,0.23111111111111113,8.6,169.7888888888889,0.8888888888888888,4.5,23.933333333333334,Filter_Clog
17,23.933333333333334,16.9,35.8,55.666666666666664,219.33333333333334,14.52,1591.3333333333333,0.23666666666666666,4.4,170.23333333333332,0.8333333333333334,4.25,23.6,Filter_Clog
18,24.044444444444444,17.233333333333334,36.5,54.55555555555556,220.44444444444446,14.959999999999999,1602.4444444444443,0.24222222222222223,4.2,170.67777777777778,0.7777777777777778,4.0,23.26666666666667,Filter_Clog
19,24.15555555555556,17.566666666666666,35.9,53.44444444444444,221.55555555555554,15.4,1613.5555555555557,0.2477777777777778,4.9,171.1222222222222,0.7222222222222222,3.75,22.933333333333334,Filter_Clog
20,24.26666666666667,17.9,35.7,52.333333333333336,222.66666666666666,15.84,1624.6666666666667,0.25333333333333335,3.0,171.56666666666663,0.6666666666666667,3.5,22.6,Filter_Clog
21,24.37777777777778,18.233333333333334,37.2,51.22222222222222,223.77777777777777,16.28,1635.7777777777778,0.2588888888888889,3.3,172.0111111111111,0.6111111111111112,3.25,22.266666666666666,Filter_Clog
22,24.48888888888889,18.566666666666666,36.3,50.111111111111114,224.88888888888889,16.72,1646.888888888889,0.2644444444444445,14.0,172.45555555555555,0.5555555555555556,3.0,21.933333333333337,Filter_Clog
23,24.6,18.9,36.5,49.0,226.0,17.16,1658.0,0.27,6.8,172.89999999999998,0.5,2.75,21.6,Filter_Clog
24,24.2,16.4,35.8,60.0,218.0,11.6,1521.0,0.23,9.2,171.0,1.0,5.0,25.9,Normal
25,24.2,16.7,36.3,62.0,214.0,11.4,1519.0,0.19,8.6,168.0,1.0,5.0,23.6,Normal
26,25.6,16.9,36.6,61.0,216.0,11.4,1496.0,0.25,4.0,170.0,1.0,5.0,27.2,Normal
27,25.5,16.5,36.0,62.0,220.0,11.5,1493.0,0.23,0.0,172.0,1.0,5.0,21.4,Normal
28,24.0,16.5,36.8,58.0,216.0,11.6,1535.0,0.23,1.6,168.0,1.0,5.0,23.5,Normal
29,24.0,16.0,36.3,61.0,218.0,12.8,1495.0,0.22,12.5,171.0,1.0,5.0,23.1,Normal
30,24.3,16.5,36.5,59.0,216.0,10.4,1520.0,0.2,1.6,169.0,1.0,5.0,24.6,Normal
31,24.6,16.8,36.4,61.0,220.0,11.7,1516.0,0.24,3.1,172.0,1.0,5.0,27.1,Normal
32,25.6,17.0,37.6,62.0,213.0,12.3,1578.0,0.21,13.7,168.0,1.0,5.0,27.9,Normal
33,24.1,16.8,36.7,63.0,217.0,13.5,1508.0,0.19,12.1,170.0,1.0,5.0,27.3,Normal
34,24.7,16.4,36.2,60.0,214.0,12.2,1548.0,0.22,0.8,168.0,1.0,5.0,28.6,Normal
35,24.5,16.1,37.2,61.0,215.0,12.3,1534.0,0.2,9.7,169.0,1.0,5.0,27.5,Normal
36,24.4,16.5,36.2,61.0,215.0,12.4,1510.0,0.21,7.7,169.0,1.0,5.0,23.1,Normal
37,25.1,16.6,36.9,60.0,216.0,10.6,1477.0,0.24,5.5,169.0,1.0,5.0,26.9,Normal
38,24.6,16.5,35.8,62.0,214.0,13.1,1513.0,0.22,7.5,169.0,1.0,5.0,23.1,Normal
39,25.5,16.9,36.2,61.0,217.0,13.1,1542.0,0.22,2.3,170.0,1.0,5.0,25.2,Normal
40,24.6,17.4,36.9,61.0,218.0,13.3,1478.0,0.25,14.3,171.0,1.0,5.0,27.8,Normal
41,24.7,16.8,37.2,62.0,214.0,15.0,1541.0,0.18,2.6,168.0,1.0,5.0,26.5,Normal
42,24.7,16.7,37.0,61.0,216.0,11.2,1556.0,0.25,2.8,169.0,1.0,5.0,28.7,Normal
43,23.4,16.7,36.9,60.0,222.0,11.0,1519.0,0.23,5.5,174.0,1.0,5.0,26.5,Normal
44,24.3,16.8,36.8,61.0,218.0,13.2,1544.0,0.22,3.2,171.0,1.0,5.0,22.0,Normal
45,24.1,16.5,36.2,61.0,213.0,12.2,1521.0,0.23,4.7,168.0,1.0,5.0,24.9,Normal
46,25.3,16.9,36.6,62.0,214.0,11.6,1534.0,0.24,0.6,168.0,1.0,5.0,28.5,Normal
47,24.6,17.0,36.8,62.0,218.0,12.3,1562.0,0.25,9.2,171.0,1.0,5.0,27.9,Normal
48,24.6,17.0,37.5,60.0,217.0,12.0,1471.0,0.22,3.6,170.0,1.0,5.0,24.0,Normal
49,25.5,17.1,37.2,60.0,216.0,14.3,1495.0,0.23,14.6,169.0,1.0,5.0,25.6,Normal
50,24.2,17.0,36.2,62.0,222.0,14.9,1556.0,0.24,1.7,174.0,1.0,5.0,26.6,Normal
51,23.4,16.4,37.2,61.0,223.0,11.0,1562.0,0.19,1.2,174.0,1.0,5.0,25.3,Normal
52,25.0,17.1,36.9,62.0,217.0,11.2,1477.0,0.23,2.6,170.0,1.0,5.0,25.7,Normal
53,24.0,16.8,36.8,62.0,219.0,11.9,1567.0,0.24,8.1,172.0,1.0,5.0,27.3,Normal
54,24.0,16.7,37.5,59.0,219.0,12.0,1443.0,0.22,11.2,171.0,1.0,5.0,32.6,Normal
55,25.0,16.7,37.7,62.0,220.0,11.9,1539.0,0.22,8.4,172.0,1.0,5.0,28.3,Normal
56,25.7,17.2,37.7,61.0,216.0,12.5,1527.0,0.23,12.9,169.0,1.0,5.0,29.5,Normal
57,25.3,17.0,36.8,62.0,221.0,12.3,1499.0,0.22,8.9,173.0,1.0,5.0,24.0,Normal
58,25.1,16.6,37.1,61.0,217.0,11.4,1501.0,0.23,2.1,171.0,1.0,5.0,23.2,Normal
59,25.1,16.6,37.4,61.0,217.0,11.4,1501.0,0.23,2.8,171.0,1.0,5.0,21.619512502843985,Fan_Fault
60,25.211111111111112,17.15555555555556,37.8,59.644444444444446,214.5888888888889,10.766666666666667,1417.611111111111,0.23,5.4,171.0,1.0,4.722222222222222,25.384751575138615,Fan_Fault
61,25.322222222222223,17.711111111111112,37.1,58.28888888888889,212.17777777777778,10.133333333333333,1334.2222222222222,0.23,13.8,171.0,1.0,4.444444444444445,25.29727136459239,Fan_Fault
62,25.433333333333334,18.26666666666667,37.2,56.93333333333334,209.76666666666668,9.5,1250.8333333333333,0.23,6.9,171.0,1.0,4.166666666666667,23.923350815620385,Fan_Fault
63,25.544444444444444,18.822222222222223,36.8,55.57777777777778,207.35555555555555,8.866666666666667,1167.4444444444443,0.23,13.1,171.0,1.0,3.888888888888889,20.931047772433427,Fan_Fault
64,25.65555555555556,19.37777777777778,36.8,54.22222222222222,204.94444444444446,8.233333333333334,1084.0555555555557,0.23,1.1,171.0,1.0,3.611111111111111,23.996676042531767,Fan_Fault
65,25.76666666666667,19.933333333333334,37.8,52.866666666666674,202.53333333333333,7.6000000000000005,1000.6666666666667,0.23,10.3,171.0,1.0,3.3333333333333335,19.839997840039107,Fan_Fault
66,25.87777777777778,20.48888888888889,38.1,51.51111111111111,200.12222222222223,6.966666666666667,917.2777777777777,0.23,7.0,171.0,1.0,3.0555555555555554,23.200940668301165,Fan_Fault
67,25.98888888888889,21.044444444444444,37.4,50.15555555555556,197.7111111111111,6.333333333333334,833.8888888888889,0.23,2.6,171.0,1.0,2.7777777777777777,21.591574505758558,Fan_Fault
68,26.1,21.6,37.9,48.800000000000004,195.3,5.7,750.5,0.23,1.2,171.0,1.0,2.5,23.401868471650165,Fan_Fault
69,25.4,17.3,37.6,64.0,218.0,11.6,1540.0,0.24,4.7,172.0,1.0,5.0,27.0,Normal
70,24.7,17.1,37.2,63.0,221.0,14.0,1505.0,0.28,12.3,174.0,1.0,5.0,20.2,Normal
71,25.6,17.2,37.7,61.0,218.0,13.7,1501.0,0.24,9.6,171.0,1.0,5.0,23.5,Normal
72,25.4,17.1,38.3,62.0,215.0,12.6,1538.0,0.21,6.9,169.0,1.0,5.0,30.5,Normal
73,25.7,17.6,37.5,63.0,218.0,13.7,1525.0,0.23,12.7,171.0,1.0,5.0,25.8,Normal
74,25.7,17.6,38.3,63.0,218.0,13.7,1525.0,0.23,2.7,171.0,1.0,5.0,25.8,Refrigerant_Leak
75,25.81111111111111,18.15555555555556,36.3,61.6,213.15555555555557,14.004444444444443,1525.0,0.23,4.2,165.3,1.0,5.0,25.8,Refrigerant_Leak
76,25.92222222222222,18.711111111111112,38.0,60.2,208.3111111111111,14.308888888888887,1525.0,0.23,8.3,159.6,1.0,5.0,25.8,Refrigerant_Leak
77,26.03333333333333,19.26666666666667,37.7,58.800000000000004,203.46666666666667,14.613333333333332,1525.0,0.23,8.8,153.9,1.0,5.0,25.8,Refrigerant_Leak
78,26.144444444444442,19.822222222222223,37.5,57.400000000000006,198.62222222222223,14.917777777777776,1525.0,0.23,4.8,148.2,1.0,5.0,25.8,Refrigerant_Leak
79,26.255555555555556,20.37777777777778,37.7,56.0,193.77777777777777,15.222222222222221,1525.0,0.23,7.6,142.5,1.0,5.0,25.8,Refrigerant_Leak
80,26.366666666666667,20.933333333333334,36.7,54.60000000000001,188.93333333333334,15.526666666666666,1525.0,0.23,1.8,136.8,1.0,5.0,25.8,Refrigerant_Leak
81,26.477777777777778,21.48888888888889,37.6,53.2,184.0888888888889,15.83111111111111,1525.0,0.23,0.2,131.1,1.0,5.0,25.8,Refrigerant_Leak
82,26.58888888888889,22.044444444444444,37.9,51.800000000000004,179.24444444444447,16.135555555555552,1525.0,0.23,13.6,125.39999999999999,1.0,5.0,25.8,Refrigerant_Leak
83,26.7,22.6,38.5,50.400000000000006,174.4,16.439999999999998,1525.0,0.23,6.6,119.69999999999999,1.0,5.0,25.8,Refrigerant_Leak
84,26.5,17.9,37.5,62.0,220.0,12.9,1504.0,0.26,3.5,172.0,1.0,5.0,26.6,Normal
85,26.6,17.7,37.4,62.0,219.0,12.5,1596.0,0.23,4.9,172.0,1.0,5.0,24.4,Normal
86,25.3,17.6,37.6,61.0,219.0,14.5,1550.0,0.24,7.8,172.0,1.0,5.0,27.8,Normal
87,24.8,17.3,38.3,62.0,219.0,13.8,1530.0,0.22,14.2,172.0,1.0,5.0,25.8,Normal
